cell_id,dataset,donor_id,condition,cell_type,INS,IAPP,PDX1,MAFA,NKX6-1,SLC2A2,GABRA2,PPP1R1A,ADCYAP1,ENTPD3,HSPA5,XBP1,DDIT3,ATF4,HERPUD1,IL1R2,HLA-DRA,HLA-DPA1,GBP2,TNFRSF10A,NDUFA1,NDUFB5,SDHA,UQCRC1,COX4I1,ATP5F1A,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
ND_donor_01_cell_000,demo,ND_donor_01,ND,beta,31,24,21,24,29,19,13,25,33,25,1,1,1,0,1,2,3,3,1,1,8,5,9,7,4,4,0,4,2,3,2,0,3,0,0,2,6,3,2,5,0,2,3,3,0,2,4,0,0,1,1,0,4,0,2,1,4,3,0,4,2,2,1,0,0,3,0,1,2,1,0,3,2,0,4,1,3,2,5,4,1,2,2,3,1,1,2,2,0,1,0,4,0,0,2,2,2,2,2,2,0,1,2,5,1,3
ND_donor_01_cell_001,demo,ND_donor_01,ND,beta,34,34,27,26,23,33,32,42,27,29,0,3,2,0,1,0,1,3,3,2,9,6,7,9,6,8,1,1,2,2,1,1,2,0,2,3,3,1,1,0,1,0,0,0,1,3,2,2,2,3,4,0,4,0,0,3,1,1,2,2,1,0,1,3,4,2,3,2,0,0,0,1,3,1,0,2,2,2,1,0,2,3,2,0,1,2,2,2,0,1,0,1,1,1,2,2,2,0,0,0,1,1,1,4,1,2
ND_donor_01_cell_002,demo,ND_donor_01,ND,beta,21,25,12,27,26,10,18,22,23,18,4,4,1,4,2,3,1,4,2,3,5,8,2,2,3,4,3,0,0,1,1,0,3,3,0,1,3,2,2,0,1,4,0,1,4,0,3,0,1,1,1,0,2,3,3,3,2,0,0,6,3,1,2,0,0,2,2,2,4,1,1,0,0,1,2,3,0,2,4,4,1,3,1,0,1,3,0,1,3,1,1,1,1,3,4,1,3,0,4,0,1,2,4,3,1,2
ND_donor_01_cell_003,demo,ND_donor_01,ND,beta,17,26,14,16,25,20,20,19,21,28,1,5,0,3,6,0,1,3,4,1,2,5,6,4,8,4,4,2,1,1,4,3,6,1,2,1,3,3,3,2,1,4,2,1,2,1,1,0,1,2,1,2,6,2,0,2,2,1,0,4,3,3,0,1,4,0,2,2,1,2,4,0,0,4,1,2,1,2,4,1,0,4,1,0,2,1,1,1,3,2,0,3,2,2,2,0,0,0,1,0,1,1,2,1,5,1
ND_donor_01_cell_004,demo,ND_donor_01,ND,beta,29,33,28,37,21,27,33,26,35,24,1,0,2,1,2,1,2,5,1,1,5,4,7,7,7,2,3,3,2,0,2,1,0,1,1,2,3,1,2,2,0,1,1,1,4,1,2,2,1,4,0,0,0,0,2,5,2,3,2,1,1,1,3,2,0,4,2,2,6,0,2,3,3,5,2,2,2,3,5,1,0,1,1,3,3,4,1,4,4,3,0,2,1,3,4,1,2,2,4,0,1,0,6,4,2,0
ND_donor_01_cell_005,demo,ND_donor_01,ND,beta,29,32,23,20,23,38,28,31,25,22,2,4,3,2,0,1,1,0,2,1,7,3,3,6,7,5,2,0,2,5,1,0,1,1,2,2,3,2,2,0,3,0,3,2,2,4,4,2,2,1,4,0,4,5,3,1,0,1,0,0,1,3,1,3,3,2,0,1,3,6,3,2,1,0,1,3,3,1,0,0,2,0,4,4,2,0,1,1,4,0,0,2,3,4,0,1,7,1,1,1,3,2,2,0,4,6
ND_donor_01_cell_006,demo,ND_donor_01,ND,beta,18,26,27,18,31,17,29,18,20,18,3,2,1,1,0,1,2,2,2,3,10,7,5,3,6,8,1,0,1,3,2,2,3,2,5,2,0,4,2,0,1,1,4,2,2,3,4,2,6,1,1,1,0,3,2,3,1,3,0,2,0,4,2,1,0,2,0,0,3,2,1,2,0,0,3,1,4,0,0,0,1,0,5,0,2,3,7,1,1,5,2,1,2,1,1,1,2,2,4,3,4,2,1,0,1,1
ND_donor_01_cell_007,demo,ND_donor_01,ND,beta,16,8,21,13,11,10,7,12,11,11,4,2,5,6,7,2,2,4,3,3,4,4,6,6,6,6,1,0,0,4,3,0,0,2,2,1,0,1,2,4,2,2,2,1,0,0,3,1,1,0,3,0,2,5,3,1,3,1,3,2,1,2,2,0,4,2,3,2,0,2,3,0,2,4,3,2,0,0,0,4,1,0,0,1,1,1,3,2,2,0,0,1,4,1,2,2,1,3,1,2,0,2,0,0,1,4
ND_donor_01_cell_008,demo,ND_donor_01,ND,beta,69,64,53,72,71,67,66,63,51,67,1,2,0,1,0,0,0,0,0,2,6,10,11,8,12,7,3,2,3,0,2,0,2,0,1,2,4,2,1,5,2,5,1,5,3,7,0,3,0,0,1,3,2,2,1,0,3,5,3,3,3,3,2,2,0,2,2,3,1,2,2,1,1,1,1,5,3,1,1,1,1,3,0,0,2,1,0,1,1,1,0,1,2,3,1,0,7,1,0,3,1,2,1,3,3,3
ND_donor_01_cell_009,demo,ND_donor_01,ND,beta,85,73,70,78,78,88,76,81,100,64,1,1,1,0,1,0,0,0,0,0,9,11,14,8,9,6,0,1,1,2,0,3,1,0,3,2,2,3,1,4,1,4,2,6,0,1,1,4,0,1,0,1,0,1,1,2,1,1,3,3,0,1,1,2,0,0,2,0,0,1,5,0,0,0,1,2,0,1,0,4,1,3,2,0,0,1,2,1,1,0,3,0,1,3,0,1,1,4,3,2,2,2,2,0,0,3
ND_donor_01_cell_010,demo,ND_donor_01,ND,beta,56,59,57,66,78,59,63,54,69,73,0,1,0,0,1,1,1,1,1,0,5,11,3,7,9,9,1,0,1,1,0,0,1,3,0,0,1,1,1,2,3,1,2,5,0,0,3,1,1,2,1,1,5,0,0,0,1,0,2,2,0,1,2,2,2,2,1,1,0,0,3,1,1,3,1,0,0,1,3,2,0,1,2,1,1,1,0,2,1,0,2,1,1,2,1,3,3,3,1,3,1,1,3,3,0,1
ND_donor_01_cell_011,demo,ND_donor_01,ND,beta,43,34,48,33,44,30,36,27,35,31,1,3,0,0,0,0,1,0,3,0,4,6,5,5,2,3,4,1,0,1,4,1,1,3,0,0,0,2,1,1,1,1,0,1,3,1,0,2,3,0,1,2,1,1,2,3,2,2,2,3,1,4,3,1,6,3,7,1,3,4,4,3,3,3,1,0,6,3,0,2,0,0,0,0,2,0,1,3,0,1,0,0,3,0,1,2,1,2,2,1,2,2,2,0,1,0
ND_donor_01_cell_012,demo,ND_donor_01,ND,beta,36,29,31,33,46,31,34,52,46,40,3,1,1,3,1,0,2,4,0,2,7,7,6,6,12,9,1,1,2,1,4,3,0,4,3,1,1,0,1,0,0,3,0,2,5,2,2,0,1,0,1,2,3,6,0,3,1,3,4,2,0,3,1,1,1,4,2,3,0,3,1,3,0,3,2,1,8,0,4,2,0,1,3,3,0,1,3,2,3,0,2,3,2,0,2,6,1,1,1,1,1,1,0,0,0,1
ND_donor_01_cell_013,demo,ND_donor_01,ND,beta,59,49,56,56,55,54,36,51,35,46,0,1,1,0,0,0,3,1,0,1,4,3,3,9,9,7,0,1,2,0,2,0,4,3,1,3,0,4,2,0,3,4,1,2,1,4,2,2,2,2,1,4,7,3,3,4,4,0,3,4,1,1,4,1,0,0,1,2,1,0,2,1,3,1,0,3,4,1,1,4,0,1,0,0,2,2,5,0,4,0,0,0,3,1,3,1,0,1,2,5,2,2,2,0,0,0
ND_donor_01_cell_014,demo,ND_donor_01,ND,beta,30,28,21,32,28,32,32,23,21,21,1,0,2,2,0,2,1,1,0,2,6,7,9,5,4,7,2,2,2,1,1,3,0,3,0,1,1,1,0,2,3,5,0,2,4,1,5,3,5,0,1,3,1,1,6,0,0,2,3,2,1,1,2,1,2,2,0,0,2,3,1,1,3,0,0,0,1,4,1,4,0,2,4,0,4,1,2,1,3,2,0,2,2,3,3,1,0,1,4,3,0,2,0,3,2,2
ND_donor_01_cell_015,demo,ND_donor_01,ND,beta,33,31,26,26,31,21,18,28,20,29,3,1,1,1,0,3,3,3,2,0,2,8,11,5,5,8,5,1,1,1,2,4,8,3,7,1,4,1,1,0,2,1,3,1,0,3,0,1,0,1,3,2,3,2,2,3,2,2,1,2,0,0,4,2,0,1,0,2,8,2,2,1,1,2,2,3,1,1,3,3,0,2,3,0,3,3,1,0,1,1,1,1,0,0,1,0,2,3,2,2,6,0,0,1,1,3
ND_donor_01_cell_016,demo,ND_donor_01,ND,beta,49,54,59,57,65,50,63,52,49,62,1,1,0,1,1,0,1,0,0,1,9,7,6,7,10,4,2,2,0,3,2,2,1,3,4,1,2,3,2,1,2,2,2,3,2,0,4,0,2,1,4,3,0,4,3,4,2,3,4,3,3,0,2,1,5,0,2,3,4,3,4,1,2,6,1,2,1,2,1,2,3,0,5,4,3,4,3,1,3,0,3,2,4,2,1,2,1,4,2,3,2,0,1,5,1,1
ND_donor_01_cell_017,demo,ND_donor_01,ND,beta,14,15,16,18,16,10,11,19,16,16,4,2,3,5,4,6,7,3,2,0,10,5,4,4,6,4,1,3,5,0,0,1,0,0,1,2,3,1,1,1,0,0,2,0,1,1,0,1,0,1,3,2,1,4,2,6,3,1,1,1,1,2,1,3,2,0,3,5,1,2,0,4,2,3,3,0,1,1,2,2,2,1,4,0,5,0,2,3,2,0,2,4,2,0,0,1,2,2,3,2,1,0,2,7,2,2
